,Horaire,1
S/N,,550699
Type,,TK-4014
Description,,TIF Procter
Propriété,,Temperature
1,2012-08-18 06:00:00,24.009
2,2012-08-18 07:00:00,26.087
3,2012-08-18 08:00:00,29.866
4,2012-08-18 09:00:00,31.496
5,2012-08-18 10:00:00,31.435
6,2012-08-18 11:00:00,31.323
7,2012-08-18 12:00:00,32.598
8,2012-08-18 13:00:00,31.966
9,2012-08-18 14:00:00,29.658
10,2012-08-18 15:00:00,29.767
11,2012-08-18 16:00:00,30.996
12,2012-08-18 17:00:00,29.577
13,2012-08-18 18:00:00,28.002
14,2012-08-18 19:00:00,27.339
15,2012-08-18 20:00:00,26.464
16,2012-08-18 21:00:00,26.292
17,2012-08-18 22:00:00,25.344
18,2012-08-18 23:00:00,25.267
19,2012-08-19 00:00:00,25.321
20,2012-08-19 01:00:00,24.665
21,2012-08-19 02:00:00,24.644
22,2012-08-19 03:00:00,24.138
23,2012-08-19 04:00:00,23.440
24,2012-08-19 05:00:00,23.160
25,2012-08-19 06:00:00,22.640
26,2012-08-19 07:00:00,25.311
27,2012-08-19 08:00:00,28.419
28,2012-08-19 09:00:00,31.720
29,2012-08-19 10:00:00,31.998
30,2012-08-19 11:00:00,31.159
31,2012-08-19 12:00:00,33.024
32,2012-08-19 13:00:00,32.805
33,2012-08-19 14:00:00,33.337
34,2012-08-19 15:00:00,32.805
35,2012-08-19 16:00:00,32.024
36,2012-08-19 17:00:00,30.775
37,2012-08-19 18:00:00,28.282
38,2012-08-19 19:00:00,27.040
39,2012-08-19 20:00:00,26.170
40,2012-08-19 21:00:00,26.247
41,2012-08-19 22:00:00,26.223
42,2012-08-19 23:00:00,25.420
43,2012-08-20 00:00:00,25.572
44,2012-08-20 01:00:00,25.631
45,2012-08-20 02:00:00,25.956
46,2012-08-20 03:00:00,26.125
47,2012-08-20 04:00:00,25.406
48,2012-08-20 05:00:00,25.019
49,2012-08-20 06:00:00,25.328
50,2012-08-20 07:00:00,28.278
51,2012-08-20 08:00:00,29.555
52,2012-08-20 09:00:00,29.395
53,2012-08-20 10:00:00,30.976
54,2012-08-20 11:00:00,31.943
55,2012-08-20 12:00:00,32.757
56,2012-08-20 13:00:00,33.440
57,2012-08-20 14:00:00,33.215
58,2012-08-20 15:00:00,32.337
59,2012-08-20 16:00:00,31.304
60,2012-08-20 17:00:00,30.532
61,2012-08-20 18:00:00,28.268
62,2012-08-20 19:00:00,27.525
63,2012-08-20 20:00:00,27.464
64,2012-08-20 21:00:00,27.018
65,2012-08-20 22:00:00,24.817
66,2012-08-20 23:00:00,24.644
67,2012-08-21 00:00:00,25.179
68,2012-08-21 01:00:00,25.389
69,2012-08-21 02:00:00,24.696
70,2012-08-21 03:00:00,23.986
71,2012-08-21 04:00:00,24.107
72,2012-08-21 05:00:00,24.436
73,2012-08-21 06:00:00,24.618
74,2012-08-21 07:00:00,26.047
75,2012-08-21 08:00:00,28.703
76,2012-08-21 09:00:00,29.623
77,2012-08-21 10:00:00,33.165
78,2012-08-21 11:00:00,33.246
79,2012-08-21 12:00:00,33.647
80,2012-08-21 13:00:00,34.115
81,2012-08-21 14:00:00,33.370
82,2012-08-21 15:00:00,32.664
83,2012-08-21 16:00:00,32.106
84,2012-08-21 17:00:00,30.465
85,2012-08-21 18:00:00,28.409
86,2012-08-21 19:00:00,27.482
87,2012-08-21 20:00:00,26.785
88,2012-08-21 21:00:00,26.927
89,2012-08-21 22:00:00,27.177
90,2012-08-21 23:00:00,27.377
91,2012-08-22 00:00:00,27.753
92,2012-08-22 01:00:00,27.968
93,2012-08-22 02:00:00,27.913
94,2012-08-22 03:00:00,27.653
95,2012-08-22 04:00:00,26.247
96,2012-08-22 05:00:00,26.128
97,2012-08-22 06:00:00,26.586
98,2012-08-22 07:00:00,26.763
99,2012-08-22 08:00:00,24.977
100,2012-08-22 09:00:00,27.852
101,2012-08-22 10:00:00,28.780
102,2012-08-22 11:00:00,27.368
103,2012-08-22 12:00:00,28.637
104,2012-08-22 13:00:00,26.776
105,2012-08-22 14:00:00,26.239
106,2012-08-22 15:00:00,26.608
107,2012-08-22 16:00:00,26.850
108,2012-08-22 17:00:00,27.310
109,2012-08-22 18:00:00,26.445
110,2012-08-22 19:00:00,25.764
111,2012-08-22 20:00:00,25.906
112,2012-08-22 21:00:00,25.210
113,2012-08-22 22:00:00,25.260
114,2012-08-22 23:00:00,25.014
115,2012-08-23 00:00:00,25.338
116,2012-08-23 01:00:00,25.584
117,2012-08-23 02:00:00,24.817
118,2012-08-23 03:00:00,24.529
119,2012-08-23 04:00:00,24.114
120,2012-08-23 05:00:00,23.399
121,2012-08-23 06:00:00,22.965
122,2012-08-23 07:00:00,24.448
123,2012-08-23 08:00:00,24.862
124,2012-08-23 09:00:00,25.713
125,2012-08-23 10:00:00,26.163
126,2012-08-23 11:00:00,26.877
127,2012-08-23 12:00:00,28.987
128,2012-08-23 13:00:00,28.595
129,2012-08-23 14:00:00,27.494
130,2012-08-23 15:00:00,28.154
131,2012-08-23 16:00:00,28.343
132,2012-08-23 17:00:00,27.540
133,2012-08-23 18:00:00,27.423
134,2012-08-23 19:00:00,26.811
135,2012-08-23 20:00:00,26.854
136,2012-08-23 21:00:00,26.598
137,2012-08-23 22:00:00,27.061
138,2012-08-23 23:00:00,23.235
139,2012-08-24 00:00:00,22.819
140,2012-08-24 01:00:00,23.425
141,2012-08-24 02:00:00,22.922
142,2012-08-24 03:00:00,23.547
143,2012-08-24 04:00:00,24.606
144,2012-08-24 05:00:00,24.714
145,2012-08-24 06:00:00,25.149
146,2012-08-24 07:00:00,25.873
147,2012-08-24 08:00:00,28.769
148,2012-08-24 09:00:00,30.132
149,2012-08-24 10:00:00,32.337
150,2012-08-24 11:00:00,31.291
151,2012-08-24 12:00:00,32.483
152,2012-08-24 13:00:00,33.002
153,2012-08-24 14:00:00,32.305
154,2012-08-24 15:00:00,33.486
155,2012-08-24 16:00:00,31.530
156,2012-08-24 17:00:00,29.508
157,2012-08-24 18:00:00,27.923
158,2012-08-24 19:00:00,27.279
159,2012-08-24 20:00:00,26.792
160,2012-08-24 21:00:00,26.569
